frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.protocols,frame.len,Source_File
2021-08-17T01:58:06.017228000+0530,,,,,,,eth:ethertype:arp,42,traffic_segment_1.csv
2021-08-17T01:58:06.017598000+0530,,,,,,,eth:ethertype:arp,60,traffic_segment_1.csv
2021-08-17T01:58:10.738532000+0530,,,,,,,eth:ethertype:arp,60,traffic_segment_1.csv
2021-08-17T01:58:11.253143000+0530,,,,,,,eth:ethertype:arp,60,traffic_segment_1.csv
2021-08-17T01:58:11.253167000+0530,,,,,,,eth:ethertype:arp,42,traffic_segment_1.csv
2021-08-17T01:58:17.117148000+0530,10.10.0.33,8.8.8.8,,,53464,53,eth:ethertype:ip:udp:dns,81,traffic_segment_1.csv
2021-08-17T01:58:17.117716000+0530,10.10.0.33,8.8.8.8,,,52459,53,eth:ethertype:ip:udp:dns,90,traffic_segment_1.csv
2021-08-17T01:58:17.118143000+0530,8.8.8.8,10.10.0.33,,,53,53464,eth:ethertype:ip:udp:dns,241,traffic_segment_1.csv
2021-08-17T01:58:17.119421000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:17.120631000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:17.120792000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.121450000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp:tls,240,traffic_segment_1.csv
2021-08-17T01:58:17.122527000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,54,traffic_segment_1.csv
2021-08-17T01:58:17.123043000+0530,8.8.8.8,10.10.0.33,,,53,52459,eth:ethertype:ip:udp:dns,155,traffic_segment_1.csv
2021-08-17T01:58:17.123770000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:17.124621000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.124622000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.124623000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.124625000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.124626000+0530,13.107.42.23,10.10.0.33,443,53455,,,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:tls:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1explicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:ocsp:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:ocsp:x509ce:x509ce:x509ce,551,traffic_segment_1.csv
2021-08-17T01:58:17.124912000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.125155000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.142510000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,66,traffic_segment_1.csv
2021-08-17T01:58:17.142917000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.143846000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp:tls,249,traffic_segment_1.csv
2021-08-17T01:58:17.164510000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.164514000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.164515000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp,1514,traffic_segment_1.csv
2021-08-17T01:58:17.164516000+0530,52.109.76.30,10.10.0.33,443,53456,,,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:tls:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1explicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:ocsp:x509sat:x509sat:x509sat:x509sat:x509ce:x509ce:x509ce:ocsp:x509ce:x509ce:x509ce,1352,traffic_segment_1.csv
2021-08-17T01:58:17.164750000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.164936000+0530,10.10.0.33,52.109.76.30,53456,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.180011000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp,60,traffic_segment_1.csv
2021-08-17T01:58:17.182888000+0530,10.10.0.33,13.107.42.23,53455,443,,,eth:ethertype:ip:tcp:tls,212,traffic_segment_1.csv
